filename,dataset,comparison_status,manufacturer,manufacturer_model,sop_class,transfer_syntax,photometric,n_frames,doppler_candidate,evidence,raw_array_shape,monai_shape_CHW,acquisition_type,monai_ready,spp_validation,root_cause
a1043904-2176-4ef7-af19-dba9a39e9791.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x358x358,"(1, 226, 358, 358)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
011e4f11-cfa2-4daf-99c2-6ce2d2a95276.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
ecb0b480-e43c-4893-b682-2b3c88d3110c.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x378x378,"(1, 226, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
aa93ce55-0b25-4d2b-984e-54cdf2b622ae.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x380x380,"(1, 227, 380, 380)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
3e50ca93-53c4-4d31-beb5-3ec94fdb14d8.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
3281583a-eed6-4241-aeff-96310955d013.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,228,False,no validated evidence,228x362x362,"(1, 228, 362, 362)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
e30a8001-998a-438c-a61a-eaad06ad0190.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x378x378,"(1, 226, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
1ab7c9b3-2c67-43d1-8143-638601449be5.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x360x360,"(1, 227, 360, 360)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
48a14f55-ee3a-4602-b859-fd538873e4dd.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x358x358,"(1, 226, 358, 358)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
8103c89b-a617-4a1c-9b6b-e92969f3ff9a.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
2b4db78a-a876-41dd-ada0-7cb16f6efbfd.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
fc5c9239-6627-46f2-8edb-36c719d92b74.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x360x360,"(1, 227, 360, 360)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
662c7462-1316-4091-955f-24acc5a4e204.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x356x356,"(1, 227, 356, 356)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
